ProcessName,RegionName,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,PJ/y,430.569580972826,369.0596408338509,307.5497006948757,246.03976055590053,215.284790486413,153.77485034743785,123.01988027795028,92.26491020846272,61.50994013897508
SCHP-CCG00 [SER.CHP: .00.COMBINED-CYCLE.NGA.],UK,PJ/y,1.37052112346269,1.0659608738043145,0.7614006241459389,0.4568403744875633,0.3045602496583757,0.0,0.0,0.0,0.0
SCHP-GES00 [SER.CHP: .00.GAS-ENGINE.BOG.],UK,PJ/y,0.33800162928082,0.2253344195205466,0.1126672097602733,0.0,0.0,0.0,0.0,0.0,0.0
SCHP-STW00 [SER.CHP: .00.STEAM-TURBINE.BIOMASS.],UK,PJ/y,0.435776931942132,0.3389376137327693,0.2420982955234066,0.145258977314044,0.0968393182093627,0.0,0.0,0.0,0.0
SCKELC000 [SER.COOKING: .00.ELC.],UK,PJ/y,43.2174789116613,25.93048734699678,8.64349578233226,0.0,0.0,0.0,0.0,0.0,0.0
SCKNGA000 [SER.COOKING: .00.NGA.],UK,PJ/y,48.6456777721722,29.18740666330332,9.729135554434444,0.0,0.0,0.0,0.0,0.0,0.0
SCKOTH000 [SER.COOKING: .00.OIL.HEAT.],UK,PJ/y,6.03144717559711,3.618868305358266,1.2062894351194222,0.0,0.0,0.0,0.0,0.0,0.0
SCPECOMP00 [SER.COMPUTERS: .00.],UK,PJ/y,19.8997361675894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHHA-CAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.AIR-CONDITIONER.HFC.AIR.],UK,PJ/y,1608.65135336701,1149.0366809764355,689.4220085858614,229.807336195287,0.0,0.0,0.0,0.0,0.0
SHHBLRRC00 [SER.HEAT.HIGH-CONSUMPTION: .00.HCO.BOILER.STD.RADIATOR.],UK,PJ/y,2.25964535621425,1.614032397295893,0.9684194383775356,0.3228064794591785,0.0,0.0,0.0,0.0,0.0
SHHBLRRE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.BOILER.STD.RADIATOR.],UK,PJ/y,24.1460100016665,17.247150001190356,10.348290000714217,3.4494300002380704,0.0,0.0,0.0,0.0,0.0
SHHBLRRG00 [SER.HEAT.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],UK,PJ/y,605.869504440015,432.76393174286784,259.6583590457207,86.55278634857359,0.0,0.0,0.0,0.0,0.0
SHHBLRRO00 [SER.HEAT.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.RADIATOR.],UK,PJ/y,80.6604720349145,57.61462288208179,34.568773729249074,11.522924576416358,0.0,0.0,0.0,0.0,0.0
SHHBLRRW00 [SER.HEAT.HIGH-CONSUMPTION: .00.WOD.BOILER.STD.RADIATOR.],UK,PJ/y,10.1886791892567,7.277627992326214,4.366576795395728,1.455525598465243,0.0,0.0,0.0,0.0,0.0
SHHDAIR00 [SER.HEAT.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,PJ/y,111.898066684572,95.912628586776,79.92719048898,63.941752391184,55.949033342286,39.96359524449001,31.970876195592,23.978157146694,15.985438097795992
SHHDRAD00 [SER.HEAT.HIGH-CONSUMPTION: .00.HTP.RADIATOR.],UK,PJ/y,740.430264951204,634.6545128153177,528.8787606794315,423.1030085435451,370.215132475602,264.43938033971574,211.5515042717726,158.66362820382938,105.77575213588624
SHHVACAE00 [SER.HEAT.HIGH-CONSUMPTION: .00.ELC.HVAC.HFC.AIR.],UK,PJ/y,167.962063793999,119.97290270999927,71.98374162599957,23.99458054199985,0.0,0.0,0.0,0.0,0.0
SHLAHPRE00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.HEAT PUMP.AIR.RADIATOR.],UK,PJ/y,0.731154357006233,0.5222531121473093,0.3133518672883855,0.1044506224294619,0.0,0.0,0.0,0.0,0.0
SHLBLCRG00 [SER.HEAT.LOW-CONSUMPTION: .00.NGA.BOILER.CON.RADIATOR.],UK,PJ/y,108.526151013061,72.35076734204065,36.17538367102033,0.0,0.0,0.0,0.0,0.0,0.0
SHLBLCRO00 [SER.HEAT.LOW-CONSUMPTION: .00.OIL.BOILER.CON.RADIATOR.],UK,PJ/y,7.93351043449804,5.289006956332027,2.6445034781660137,0.0,0.0,0.0,0.0,0.0,0.0
SHLBLRRC00 [SER.HEAT.LOW-CONSUMPTION: .00.HCO.BOILER.STD.RADIATOR.],UK,PJ/y,0.993314858273807,0.6622099055158714,0.3311049527579357,0.0,0.0,0.0,0.0,0.0,0.0
SHLBLRRE00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.BOILER.STD.RADIATOR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHLBLRRG00 [SER.HEAT.LOW-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],UK,PJ/y,210.66841079006,140.44560719337335,70.22280359668667,0.0,0.0,0.0,0.0,0.0,0.0
SHLBLRRO00 [SER.HEAT.LOW-CONSUMPTION: .00.OIL.BOILER.STD.RADIATOR.],UK,PJ/y,30.8006875692277,20.53379171281847,10.266895856409237,0.0,0.0,0.0,0.0,0.0,0.0
SHLBLRRW00 [SER.HEAT.LOW-CONSUMPTION: .00.WOD.BOILER.STD.RADIATOR.],UK,PJ/y,4.56759222677958,3.04506148451972,1.52253074225986,0.0,0.0,0.0,0.0,0.0,0.0
SHLDRAD00 [SER.HEAT.LOW-CONSUMPTION: .00.HTP.RADIATOR.],UK,PJ/y,115.139838171509,98.69128986129344,82.24274155107786,65.79419324086228,57.5699190857545,41.12137077553892,32.89709662043114,24.672822465323364,16.44854831021557
SHLDSTD00 [SER.HEAT.LOW-CONSUMPTION: .00.STANDALONE.DELIVERY.],UK,PJ/y,181.375693143315,155.46487983712714,129.55406653093928,103.64325322475142,90.6878465716575,64.77703326546965,51.82162661237573,38.86621995928178,25.91081330618784
SHLNSTRE00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.NIGHT-STORAGE.],UK,PJ/y,94.8890172826062,63.25934485507081,31.629672427535404,0.0,0.0,0.0,0.0,0.0,0.0
SHLSHTRE00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.],UK,PJ/y,32.4420556500702,21.628037100046804,10.814018550023402,0.0,0.0,0.0,0.0,0.0,0.0
SHLSHTRG00 [SER.HEAT.LOW-CONSUMPTION: .00.NGA.RESISTANCE.STANDALONE.],UK,PJ/y,310.992327106244,207.3282180708293,103.66410903541468,0.0,0.0,0.0,0.0,0.0,0.0
SHLSHTRO00 [SER.HEAT.LOW-CONSUMPTION: .00.LFO.RESISTANCE.STANDALONE.],UK,PJ/y,52.3169074202763,34.8779382801842,17.438969140092098,0.0,0.0,0.0,0.0,0.0,0.0
SHLSTGNT00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.NIGHT-STORAGE.HEAT-SUPPLY.],UK,PJ/y,94.8890172826062,63.25934485507081,31.629672427535404,0.0,0.0,0.0,0.0,0.0,0.0
SLOFEFLU00 [SER.LIGHTING: .00.OFFICE.FLUORESCENT.],UK,PJ/y,378.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLOFELED00 [SER.LIGHTING: .00.OFFICE.LED.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLOTECCL00 [SER.LIGHTING: .00.OTHER.CCL.],UK,PJ/y,170.7168,56.90560000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLOTELED00 [SER.LIGHTING: .00.OTHER.LED.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOTHELC00 [SER.OTHER: .00.ELC.],UK,PJ/y,17.9461634793895,15.382425839476715,12.81868819956393,10.254950559651142,8.97308173969475,6.409344099781965,5.127475279825573,3.8456064598691793,2.5637376399127856
SOTHNGA00 [SER.OTHER: .00.NGA.OIL.HEAT.],UK,PJ/y,5.27596598286337,4.522256556740032,3.768547130616693,3.014837704493354,2.637982991431685,1.8842735653083464,1.5074188522466772,1.130564139185008,0.7537094261233381
SREFEHFC00 [SER.REFRIGERATION: .00.HFC.],UK,PJ/y,57.024,38.016000000000005,19.008000000000003,0.0,0.0,0.0,0.0,0.0,0.0
SREFEHFO00 [SER.REFRIGERATION: .00.HFO.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWHBLRRC00 [SER.WATER.HIGH-CONSUMPTION: .00.HCO.BOILER.STD.PIPE.],UK,PJ/y,0.311602229695232,0.22257302121088,0.133543812726528,0.044514604242176,0.0,0.0,0.0,0.0,0.0
SWHBLRRG00 [SER.WATER.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.PIPE.],UK,PJ/y,160.702178463007,114.78727033071928,68.87236219843156,22.957454066143868,0.0,0.0,0.0,0.0,0.0
SWHBLRRO00 [SER.WATER.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.PIPE.],UK,PJ/y,11.1879780644178,7.991412903155572,4.794847741893343,1.598282580631114,0.0,0.0,0.0,0.0,0.0
SWHBLRRW00 [SER.WATER.HIGH-CONSUMPTION: .00.WOD.BOILER.STD.PIPE.],UK,PJ/y,1.42581112364096,1.0184365168864,0.6110619101318401,0.2036873033772799,0.0,0.0,0.0,0.0,0.0
SWHDPIP00 [SER.WATER.HIGH-CONSUMPTION: .00.PIPE.DELIVERY.],UK,PJ/y,54.1061285458447,46.37668161072403,38.64723467560336,30.917787740482684,27.05306427292235,19.32361733780168,15.458893870241347,11.594170402681009,7.72944693512067
SWHDSTD00 [SER.WATER.HIGH-CONSUMPTION: .00.STANDALONE.DELIVERY.],UK,PJ/y,14.7411895247989,12.635305306970483,10.529421089142073,8.423536871313658,7.37059476239945,5.2647105445710345,4.211768435656827,3.15882632674262,2.1058842178284145
SWHWHTRE00 [SER.WATER.HIGH-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.],UK,PJ/y,54.2742216268853,38.76730116206093,23.26038069723656,7.753460232412181,0.0,0.0,0.0,0.0,0.0
SWLDSTD00 [SER.WATER.LOW-CONSUMPTION: .00.STANDALONE.DELIVERY.],UK,PJ/y,7.69475836076597,6.595507166370831,5.4962559719756925,4.3970047775805545,3.8473791803829855,2.7481279859878462,2.198502388790277,1.6488767915927085,1.0992511943951389
SWLWHTRE00 [SER.WATER.LOW-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.],UK,PJ/y,85.891546838637,57.261031225758,28.630515612879,0.0,0.0,0.0,0.0,0.0,0.0
SWLWHTRG00 [SER.WATER.LOW-CONSUMPTION: .00.NGA.BOILER.STD.STANDALONE.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHCSV01 [SER.COOLTH.HIGH-CONSUMPTION: .01.CONSERVATION-MEASURES.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHDAIR01 [SER.COOLTH.HIGH-CONSUMPTION: .01.AIR.DELIVERY.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHP-ADM01 [SER.CHP: .01.ENERGY-TO-WASTE.ANAEROBIC-DIGESTION.MSWBIO.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHP-CCG01 [SER.CHP: .01.COMBINED-CYCLE.NGA.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHP-CCH01 [SER.CHP: .01.COMBINED-CYCLE.HYG.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHP-FCH01 [SER.CHP: .01.FUEL-CELL.HYG.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHP-GES01 [SER.CHP: .01.GAS-ENGINE.BOG-SEWAGE.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHP-STM01 [SER.CHP: .01.ENERGY-TO-WASTE.STEAM-TURBINE.MSW.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHP-STW01 [SER.CHP: .01.STEAM-TURBINE.BIOMASS.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCKELC001 [SER.COOKING: .01.ELC.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCKHYG001 [SER.COOKING: .01.HDG.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCKLFO001 [SER.COOKING: .01.OIL.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCKNGA001 [SER.COOKING: .01.NGA.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCPECOMP01 [SER.COMPUTERS: .01.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCSELPDT01 [SER.LIGHTING: .01.CONSERVATION.PRESENCE-DETECTOR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCSELTMR01 [SER.LIGHTING: .01.CONSERVATION.LIGHTING-TIMER.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCSHACON01 [SER.HEAT.HIGH-CONSUMPTION: .01.CONSERVATION.EFFICIENT-AIR-CONDITIONING.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCSHCAVW01 [SER.HEAT.HIGH-CONSUMPTION: .01.CONSERVATION.CAVITY-WALL-INSULATION.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCSHPTHM01 [SER.HEAT.HIGH-CONSUMPTION: .01.CONSERVATION.PROGRAMMABLE-THERMOSTATS.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCSHROFF01 [SER.HEAT.HIGH-CONSUMPTION: .01.CONSERVATION.FLAT-ROOF-INSULATION.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCSHROFP01 [SER.HEAT.HIGH-CONSUMPTION: .01.CONSERVATION.PITCHED-ROOF-INSULATION.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCSLCAVW01 [SER.HEAT.LOW-CONSUMPTION: .01.CONSERVATION.CAVITY-WALL-INSULATION.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCSLPTHM01 [SER.HEAT.LOW-CONSUMPTION: .01.CONSERVATION.PROGRAMMABLE-THERMOSTATS.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCSLROFF01 [SER.HEAT.LOW-CONSUMPTION: .01.CONSERVATION.FLAT-ROOF-INSULATION.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCSLROFP01 [SER.HEAT.LOW-CONSUMPTION: .01.CONSERVATION.PITCHED-ROOF-INSULATION.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHHA-CAE01 [SER.HEAT.HIGH-CONSUMPTION: .01.ELC.AIR-CONDITIONER.HFC.AIR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHHA-CAE02 [SER.HEAT.HIGH-CONSUMPTION.02.ELC.AIR-CONDITIONER.HFO-HC.AIR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHHBLRRC01 [SER.HEAT.HIGH-CONSUMPTION: .01.HCO.BOILER.STD.RADIATOR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHHBLRRE01 [SER.HEAT.HIGH-CONSUMPTION: .01.ELC.BOILER.STD.RADIATOR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHHBLRRG01 [SER.HEAT.HIGH-CONSUMPTION: .01.NGA.BOILER.STD.RADIATOR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHHBLRRH01 [SER.HEAT.HIGH-CONSUMPTION: .01.HYG.BOILER.STD.RADIATOR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHHBLRRO01 [SER.HEAT.HIGH-CONSUMPTION: .01.LFO.BOILER.STD.RADIATOR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHHBLRRW01 [SER.HEAT.HIGH-CONSUMPTION: .01.WOD.BOILER.STD.RADIATOR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHHCSV01 [SER.HEAT.HIGH-CONSUMPTION: .01.CONSERVATION-MEASURES.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHHDAIR01 [SER.HEAT.HIGH-CONSUMPTION: .01.AIR.DELIVERY.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHHDRAD01 [SER.HEAT.HIGH-CONSUMPTION: .01.HTP.RADIATOR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHHFCLRH01 [SER.HEAT.HIGH-CONSUMPTION: .01.HDG.FUEL-CELL.STD.RADIATOR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHHVACAE01 [SER.HEAT.HIGH-CONSUMPTION: .01.ELC.HVAC.HFC.AIR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHHVACAE02 [SER.HEAT.HIGH-CONSUMPTION.02.ELC.HVAC.HFO-HC.AIR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHLAHBRE01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.HEAT PUMP.AIR.NGA.BOILER.RADIATOR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHLAHBUE01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.HEAT PUMP.AIR.NGA.BOILER.UNDERFLOOR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHLAHHRE01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.HEAT PUMP.AIR.HYG.BOILER.RADIATOR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHLAHHUE01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.HEAT PUMP.AIR.HYG.BOILER.UNDERFLOOR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHLAHPRE01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.HEAT PUMP.AIR.RADIATOR.],UK,PJ/y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
