ProcessName,ELC,NGA,OIL,HCO,WOOD,SOLAR,HYDROGEN,BIOMASS,KEROSENE,PELLETS,Level,RegionName,Time
Unit,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,-,-,year
RCEOTHER00 [RES.COOKING: .00.OTHER.KETTLE.MICROWAVE],1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHEHOB00 [RES.COOKING: .00.HOB.ELECTRIC.],0.9119380218086316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHEOVEN00 [RES.COOKING: .00.OVEN.ELECTRIC.],0.6587480994797755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHGHOB00 [RES.COOKING: .00.HOB.GAS.],0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHGOVEN00 [RES.COOKING: .00.OVEN.GAS.],0.0,0.8964305478643068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHPEA-CCG00 [RES.CHP.EXISTING-AVERAGE: .00.COMBINED-CYCLE.NGA.],0.0,1.8346126773399576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
REAIRCON00 [RES.AIR-CONDITIONER: .00.],1.7999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RECOLFRE00 [RES.FREEZERS: .00.],1.1650594910760577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RECOLREF00 [RES.REFRIGERATORS: .00.],1.3101157518850226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RECOMPUT00 [RES.COMPUTERS: .00.],1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],0.09323851480595333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],0.039604260642128776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RELITLED00 [RES.LIGHTING: .00.LED.],0.07945945945945973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
REOTHER00 [RES.OTHER: .00.ALL.],1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEAAHPRE00 [RES.HEAT.EXISTING-AVERAGE: .00.ELC.HEAT PUMP.AIR.RADIATOR.],0.3677250002883452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLCRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.BOILER.CON.RADIATOR.],0.0,1.1256456152557688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLCRO00 [RES.HEAT.EXISTING-AVERAGE: .00.OIL.BOILER.CON.RADIATOR.],0.0,0.0,1.5837180859857043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLRRC00 [RES.HEAT.EXISTING-AVERAGE: .00.HCO.BOILER.STD.RADIATOR.],0.0,0.0,0.0,2.2981660326984947,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLRRE00 [RES.HEAT.EXISTING-AVERAGE: .00.ELC.BOILER.STD.RADIATOR.],1.1054427981813753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLRRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.BOILER.STD.RADIATOR.],0.0,1.3433091355167477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLRRO00 [RES.HEAT.EXISTING-AVERAGE: .00.OIL.BOILER.STD.RADIATOR.],0.0,0.0,1.8572930996254224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLRRW00 [RES.HEAT.EXISTING-AVERAGE: .00.WOD.BOILER.STD.RADIATOR.],0.0,0.0,0.0,0.0,13.282100935847456,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEANSTRE00 [RES.HEAT.EXISTING-AVERAGE: .00.ELC.RESISTANCE.STANDALONE.NIGHT-STORAGE.],1.234114436836456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEARAD00 [RES.HEAT.EXISTING-AVERAGE: .00.HTP.RADIATOR.],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEASA00 [RES.HEAT.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEASHTRE00 [RES.HEAT.EXISTING-AVERAGE: .00.ELC.RESISTANCE.STANDALONE.],1.0945793094221348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEASHTRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.HEATER.STANDALONE.],0.0,1.372062648879092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEASTGNT00 [RES.HEAT.EXISTING-AVERAGE .00.ELC.NIGHT-STORAGE.HEAT-SUPPLY.],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHNADUMMY00 [RES.HEAT.NEW-AVERAGE: .00.DUMMY-TECH.],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RWEASA00 [RES.WATER.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RWEASOLRS00 [RES.WATER.EXISTING-AVERAGE: .00.SOL.WATER-HEATER.STANDALONE.],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RWEAWHTRE00 [RES.WATER.EXISTING-AVERAGE: .00.ELC.RESISTANCE.STANDALONE.],1.205582695107588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RWEAWHTRG00 [RES.WATER.EXISTING-AVERAGE: .00.NGA.BOILER.STD.STANDALONE.],0.0,1.372062648879092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCEOTHER01 [RES.COOKING: .01.OTHER.KETTLE.MICROWAVE],1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHEHOB01 [RES.COOKING: .01.HOB.ELECTRIC.],0.9119380218086316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHEOVEN01 [RES.COOKING: .01.OVEN.ELECTRIC.],0.6587480994797755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHGHOB01 [RES.COOKING: .01.HOB.GAS.],0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHGOVEN01 [RES.COOKING: .01.OVEN.GAS.],0.0,0.8964305478643068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHHHOB01 [RES.COOKING: .01.HOB.HYDROGEN.],0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,fixed,UK,2010
RCHHOVEN01 [RES.COOKING: .01.OVEN.HYDROGEN.],0.0,0.0,0.0,0.0,0.0,0.0,0.8964305478643068,0.0,0.0,0.0,fixed,UK,2010
RCHPEA-CCG01 [RES.CHP.EXISTING-AVERAGE: .01.COMBINED-CYCLE.NGA.],0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHPEA-CCH01 [RES.CHP.EXISTING-AVERAGE: .01.COMBINED-CYCLE.HYG.],1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHPEA-FCH01 [RES.CHP.EXISTING-AVERAGE: .01.FUEL-CELL.HYG.],1.2048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHPEA-STW01 [RES.CHP.EXISTING-AVERAGE: .01.STEAM-TURBINE.BIOMASS.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,fixed,UK,2010
RCHPNA-CCG01 [RES.CHP.NEW-AVERAGE: .01.COMBINED-CYCLE.NGA.],0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHPNA-CCH01 [RES.CHP.NEW-AVERAGE: .01.COMBINED-CYCLE.HYG.],1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHPNA-FCH01 [RES.CHP.NEW-AVERAGE: .01.FUEL-CELL.HYG.],1.2048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RCHPNA-STW01 [RES.CHP.NEW-AVERAGE: .01.STEAM-TURBINE.BIOMASS.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,fixed,UK,2010
REAIRCON01 [RES.AIR-CONDITIONER: .01.],1.7999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
REAUDVIS01 [RES.CONSUMER-ELECTRONICS: .01.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RECOLFRE01 [RES.FREEZERS: .01.CLASS-A+.],0.9597802411840624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RECOLFRE02 [RES.FREEZERS: .01.CLASS-A+++.],0.7852747427869615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RECOLREF01 [RES.REFRIGERATORS: .01.CLASS-A+.],1.0792781157998033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RECOLREF02 [RES.REFRIGERATORS: .01.CLASS-A+++.],0.8830457311089329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RECOMPUT01 [RES.COMPUTERS: .01.],1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RELITCON01 [RES.LIGHTING: .01.CONVENTIONAL.],0.09323851480595333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RELITENS01 [RES.LIGHTING: .01.ENERGY-SAVING.],0.039604260642128776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RELITLED01 [RES.LIGHTING: .01.LED.],0.07945945945945973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
REOTHER01 [RES.OTHER: .01.ALL.],1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
REWETALL01 [RES.WET-APPLIANCES: .01.WASHING-MACHINE.DRIER.DISHWASHER.],1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEAAHBRE01 [RES.HEAT.EXISTING-AVERAGE: .01.ELC.HEAT PUMP.AIR.NGA.BOILER.RADIATOR.],1.1904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEAAHBUE01 [RES.HEAT.EXISTING-AVERAGE: .01.ELC.HEAT PUMP.AIR.NGA.BOILER.UNDERFLOOR.],1.1904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEAAHHRE01 [RES.HEAT.EXISTING-AVERAGE: .01.ELC.HEAT PUMP.AIR.HDG.BOILER.RADIATOR.],0.39840637450199207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEAAHHUE01 [RES.HEAT.EXISTING-AVERAGE: .01.ELC.HEAT PUMP.AIR.HDG.BOILER.UNDERFLOOR.],0.39840637450199207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEAAHPRE01 [RES.HEAT.EXISTING-AVERAGE: .01.ELC.HEAT PUMP.AIR.RADIATOR.],0.39840637450199207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEAAHPUE01 [RES.HEAT.EXISTING-AVERAGE: .01.ELC.HEAT PUMP.AIR.UNDERFLOOR.],0.39840637450199207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEAAHSRE01 [RES.HEAT.EXISTING-AVERAGE: .01.ELC.HEAT PUMP.AIR.SOLAR-THERMAL.RADIATOR.],0.39840637450199207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEAAHSUE01 [RES.HEAT.EXISTING-AVERAGE: .01.ELC.HEAT PUMP.AIR.SOLAR-THERMAL.UNDERFLOOR.],0.39840637450199207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLCRG01 [RES.HEAT.EXISTING-AVERAGE: .01.NGA.BOILER.CON.RADIATOR.],0.0,1.1904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLCRH01 [RES.HEAT.EXISTING-AVERAGE: .01.HDG.BOILER.CON.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,1.1904761904761905,0.0,0.0,0.0,fixed,UK,2010
RHEABLCRO01 [RES.HEAT.EXISTING-AVERAGE: .01.KER.BOILER.CON.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1904761904761905,0.0,fixed,UK,2010
RHEABLCRP01 [RES.HEAT.EXISTING-AVERAGE: .01.PEL.BOILER.CON.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3513513513513513,fixed,UK,2010
RHEABLRRE01 [RES.HEAT.EXISTING-AVERAGE: .01.ELC.BOILER.CON.RADIATOR.],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLRRW01 [RES.HEAT.EXISTING-AVERAGE: .01.WOD.BOILER.CON.RADIATOR.],0.0,0.0,0.0,0.0,1.3513513513513513,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLSRE01 [RES.HEAT.EXISTING-AVERAGE: .01.ELC.BOILER.CON.SOLAR-THERMAL.RADIATOR.],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLSRG01 [RES.HEAT.EXISTING-AVERAGE: .01.NGA.BOILER.CON.SOLAR-THERMAL.RADIATOR.],0.0,1.1904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLSRH01 [RES.HEAT.EXISTING-AVERAGE: .01.HDG.BOILER.CON.SOLAR-THERMAL.RADIATOR.],0.0,0.0,0.0,0.0,0.0,1.1904761904761905,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLSRO01 [RES.HEAT.EXISTING-AVERAGE: .01.KER.BOILER.CON.SOLAR-THERMAL.RADIATOR.],0.0,0.0,0.0,0.0,0.0,1.1904761904761905,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLSRP01 [RES.HEAT.EXISTING-AVERAGE: .01.PEL.BOILER.CON.SOLAR-THERMAL.RADIATOR.],0.0,0.0,0.0,0.0,0.0,1.3513513513513513,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEABLSRW01 [RES.HEAT.EXISTING-AVERAGE: .01.WOD.BOILER.CON.SOLAR-THERMAL.RADIATOR.],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fixed,UK,2010
RHEACHBRH01 [RES.HEAT.EXISTING-AVERAGE: .01.HDG.MICRO-CHP-BOILER.STD.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,1.1363636363636365,0.0,0.0,0.0,fixed,UK,2010
RHEACHPRG01 [RES.HEAT.EXISTING-AVERAGE: .01.GAS.MICRO-CHP.STD.RADIATOR.],0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed,UK,2010
