ProcessName,RegionName,Time,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Fuel,EndUse,A1,A2,A3,B6,C7,C9,D10,D11,D12,E13,E14,H20,I21,I22,J23,G17,H19,J24,B5,G18,B4,C8,F15,F16
Unit,-,year,MGBP2020/PJ_a,-,MGBP2020/PJ_a,-,MGBP2020/PJ,-,PJ,%,PJ,years,-,PJ,%,-,-,-,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new
RWEASA00 [RES.WATER.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,2010,0.000593142810946307,1,0.0,1,0,1,2.0,100,100000000.0,50.0,1.0,1,1.0,0.1,ELC,RES.HOT-WATER.EXISTING-AVERAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2339776556126973,0.0,0.17063309097357687,0.19815570136549032,0.24412129810250044,0.15311225394573505
RWEASOLRS00 [RES.WATER.EXISTING-AVERAGE: .00.SOL.WATER-HEATER.STANDALONE.],UK,2010,6.10855195224853,1,21.4916800914079,1,0,1,2.0,100,100000000.0,20.0,1.0,1,1.0,0.1,SOLAR,RES.HOT-WATER.EXISTING-AVERAGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RWEAWHTRE00 [RES.WATER.EXISTING-AVERAGE: .00.ELC.RESISTANCE.STANDALONE.],UK,2010,2.62143465606815,1,0.262143465606815,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.829474414370852,0.1,ELC,RES.HOT-WATER.EXISTING-AVERAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2339776556126973,0.0,0.17063309097357687,0.19815570136549032,0.24412129810250044,0.15311225394573505
RWEAWHTRG00 [RES.WATER.EXISTING-AVERAGE: .00.NGA.BOILER.STD.STANDALONE.],UK,2010,6.10855195224853,1,0.610855195224853,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.728829693612716,0.1,NGA,RES.HOT-WATER.EXISTING-AVERAGE,0.05452813438269943,0.047201524174322454,0.05297702766057196,0.05249324196267369,0.06543076877038632,0.06825368325502988,0.06972997775583285,0.04380006184476963,0.08012388903851334,0.08340066433252537,0.07284715364435268,0.058238820560393416,0.07711145025984778,0.09241803074283549,0.08144557161524574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RWEACSV01 [RES.WATER.EXISTING-AVERAGE: .01.CONSERVATION-MEASURES.],UK,2010,0.000593142810946307,1,0.000593142810946307,1,0,1,100000000.0,100,100000000.0,50.0,1.0,1,1.0,0.1,ELC,RES.HOT-WATER.EXISTING-AVERAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2339776556126973,0.0,0.17063309097357687,0.19815570136549032,0.24412129810250044,0.15311225394573505
RWEAWHTRE01 [RES.WATER.EXISTING-AVERAGE: .01.ELC.RESISTANCE.STANDALONE.],UK,2010,2.62143465606815,1,0.262143465606815,1,0,1,100000000.0,100,100000000.0,15.0,1.0,1,0.85,0.1,ELC,RES.HOT-WATER.EXISTING-AVERAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2339776556126973,0.0,0.17063309097357687,0.19815570136549032,0.24412129810250044,0.15311225394573505
RWEAWHTRG01 [RES.WATER.EXISTING-AVERAGE: .01.NGA.BOILER.STD.STANDALONE.],UK,2010,6.10855195224853,1,0.610855195224853,1,0,1,100000000.0,100,100000000.0,15.0,1.0,1,0.8,0.1,NGA,RES.HOT-WATER.EXISTING-AVERAGE,0.05452813438269943,0.047201524174322454,0.05297702766057196,0.05249324196267369,0.06543076877038632,0.06825368325502988,0.06972997775583285,0.04380006184476963,0.08012388903851334,0.08340066433252537,0.07284715364435268,0.058238820560393416,0.07711145025984778,0.09241803074283549,0.08144557161524574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RWNASA01 [RES.WATER.NEW-AVERAGE: .01.STANDALONE.DELIVERY.],UK,2010,0.000593142810946307,1,0.000593142810946307,1,0,1,100000000.0,100,100000000.0,50.0,1.0,1,1.0,0.1,ELC,RES.HOT-WATER.NEW-AVERAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2339776556126973,0.0,0.17063309097357687,0.19815570136549032,0.24412129810250044,0.15311225394573505
RWNAWHTRE01 [RES.WATER.NEW-AVERAGE: .01.ELC.RESISTANCE.STANDALONE.],UK,2010,2.09714772485452,1,0.209714772485452,1,0,1,100000000.0,100,100000000.0,15.0,1.0,1,0.85,0.1,ELC,RES.HOT-WATER.NEW-AVERAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2339776556126973,0.0,0.17063309097357687,0.19815570136549032,0.24412129810250044,0.15311225394573505
RWNAWHTRG01 [RES.WATER.NEW-AVERAGE: .01.NGA.BOILER.STD.STANDALONE.],UK,2010,4.88684156179883,1,0.488684156179883,1,0,1,100000000.0,100,100000000.0,15.0,1.0,1,0.8,0.1,NGA,RES.HOT-WATER.NEW-AVERAGE,0.05452813438269943,0.047201524174322454,0.05297702766057196,0.05249324196267369,0.06543076877038632,0.06825368325502988,0.06972997775583285,0.04380006184476963,0.08012388903851334,0.08340066433252537,0.07284715364435268,0.058238820560393416,0.07711145025984778,0.09241803074283549,0.08144557161524574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
